,Formula_Index,EC_Value
0,525.0,0.54
1,505.0,0.54
2,542.0,0.55
3,528.0,0.55
4,579.0,1.2
5,547.0,1.2
6,544.0,1.1
7,496.0,1.1
8,567.0,1.5
9,533.0,1.5
10,464.0,0.88
11,525.0,0.88
12,532.0,0.351
13,512.0,0.351
14,534.0,1.21
15,534.0,1.21
16,480.0,0.98
17,514.0,0.98
18,485.0,1.62
19,445.0,1.62
20,502.0,1.14
21,486.0,1.14
22,521.0,1.1
23,531.0,1.1
24,554.0,1.1
25,530.0,1.1
26,518.0,2.1
27,584.0,2.1
28,536.0,0.93
29,557.0,0.93
30,541.0,0.15
31,543.0,0.15
32,570.0,0.84
33,543.0,0.84
34,515.0,0.73
35,533.0,0.73
36,505.0,0.71
37,531.0,0.71
38,508.0,0.91
39,481.0,0.91
40,488.0,0.96
41,469.0,0.96
42,541.0,0.85
43,523.0,0.85
44,539.0,0.74
45,524.0,0.74
46,533.0,1.01
47,563.0,1.01
48,545.0,0.92
49,549.0,0.92
50,565.0,0.96
51,552.0,0.96
52,536.0,1.6
53,384.0,1.6
54,527.0,1.68
55,439.0,1.68
56,385.0,1.09
57,384.0,1.09
58,379.0,1.09
59,458.0,1.09
60,360.0,1.45
61,400.0,1.45
62,418.0,1.09
63,435.0,1.09
64,402.0,0.84
65,455.0,0.84
66,496.0,0.92
67,568.0,0.92
68,512.0,1.95
69,568.0,1.95
70,554.0,1.06
71,429.0,1.06
72,535.0,1.95
73,517.0,1.95
74,562.0,1.3
75,571.0,1.3
76,540.0,1.01
77,553.0,1.01
78,500.0,1.32
79,562.0,1.32
80,445.0,1.29
81,474.0,1.29
82,518.0,1.33
83,561.0,1.33
84,519.0,1.1
85,516.0,1.1
86,496.0,1.53
87,569.0,1.53
88,464.0,1.74
89,573.0,1.74
90,528.0,0.77
91,535.0,0.77
92,560.0,2.17
93,548.0,2.17
94,539.0,1.05
95,503.0,1.05
96,523.0,1.2
97,535.0,1.2
98,528.0,0.91
99,520.0,0.91
100,502.0,1.19
101,390.0,1.19
102,458.0,4.05
103,437.0,4.05
104,482.0,1.15
105,408.0,1.15
106,401.0,0.26
107,398.0,0.26
108,540.0,0.98
109,388.0,0.98
110,360.0,1.53
111,358.0,1.53
112,405.0,1.08
113,274.0,1.08
114,517.0,1.53
115,394.0,1.53
116,453.0,1.85
117,366.0,1.85
118,351.0,1.22
119,496.0,1.22
120,281.0,0.8
121,487.0,0.8
122,400.0,0.81
123,478.0,0.81
124,443.0,0.93
125,510.0,0.93
126,405.0,0.81
127,275.0,0.81
128,445.0,1.0
129,429.0,1.0
130,441.0,0.98
131,387.0,0.98
132,429.0,1.01
133,376.0,1.01
134,438.0,1.76
135,484.0,1.76
136,539.0,1.02
137,536.0,1.02
138,415.0,1.7
139,329.0,1.7
140,391.0,0.88
141,382.0,0.88
142,540.0,1.15
143,529.0,1.15
144,536.0,1.77
145,566.0,1.77
146,528.0,1.13
147,552.0,1.13
148,552.0,0.44
149,570.0,0.44
150,576.0,1.08
151,525.0,1.08
152,542.0,1.11
153,529.0,1.11
154,530.0,0.82
155,506.0,0.82
156,503.0,1.44
157,527.0,1.44
158,521.0,1.02
159,539.0,1.02
160,469.0,1.09
161,497.0,1.09
162,537.0,1.09
163,520.0,1.09
164,433.0,1.31
165,505.0,1.31
166,413.0,0.97
167,410.0,0.97
168,416.0,1.15
169,511.0,1.15
170,342.0,0.125
171,295.0,0.125
172,371.0,0.85
173,343.0,0.85
174,482.0,0.98
175,482.0,0.98
176,383.0,1.32
177,515.0,1.32
178,446.0,2.65
179,419.0,2.65
180,429.0,2.62
181,400.0,2.62
182,300.0,1.11
183,378.0,1.11
184,430.0,1.09
185,383.0,1.09
186,392.0,1.65
187,353.0,1.65
188,272.0,1.52
189,348.0,1.52
190,427.0,1.42
191,461.0,1.42
192,472.0,1.11
193,404.0,1.11
194,419.0,0.88
195,477.0,0.88
196,408.0,1.15
197,377.0,1.15
198,338.0,2.0
199,423.0,2.0
200,440.0,1.08
201,417.0,1.08
202,550.0,1.11
203,481.0,1.11
204,498.0,1.11
205,337.0,1.11
206,414.0,0.83
207,377.0,0.83
208,495.0,1.0
209,378.0,1.0
210,330.0,1.09
211,533.0,1.09
212,545.0,0.96
213,506.0,0.96
214,534.0,1.01
215,546.0,1.01
216,530.0,1.09
217,542.0,1.09
218,546.0,1.83
219,496.0,1.83
220,550.0,0.9
221,541.0,0.9
222,542.0,0.96
223,542.0,0.96
224,552.0,1.88
225,558.0,1.88
226,519.0,1.12
227,527.0,1.12
228,411.0,1.73
229,534.0,1.73
230,530.0,1.09
231,567.0,1.09
232,399.0,1.09
233,426.0,1.09
234,451.0,1.47
235,377.0,1.47
236,561.0,1.1
237,548.0,1.1
238,428.0,1.1
239,521.0,1.1
240,496.0,0.31
241,414.0,0.31
242,486.0,0.51
243,482.0,0.51
244,556.0,0.25
245,541.0,0.25
246,443.0,0.2
247,494.0,0.2
248,500.0,0.98
249,467.0,0.98
250,568.0,0.4
251,475.0,0.4
252,462.0,0.32
253,462.0,0.32
254,505.0,0.32
255,505.0,0.32
256,498.0,5.9
257,547.0,5.9
258,544.0,0.66
259,502.0,0.66
260,510.0,0.5
261,565.0,0.5
262,540.0,0.32
263,540.0,0.32
264,508.0,0.32
265,508.0,0.32
266,528.0,0.31
267,487.0,0.31
268,578.0,1.75
269,552.0,1.75
270,545.0,1.26
271,573.0,1.26
272,432.0,0.16
273,432.0,0.16
274,434.0,0.16
275,434.0,0.16
276,556.0,0.42
277,529.0,0.42
278,440.0,1.7
279,540.0,1.7
280,429.0,2.38
281,429.0,2.38
282,465.0,2.38
283,465.0,2.38
284,571.0,1.98
285,571.0,1.98
286,560.0,1.98
287,560.0,1.98
288,453.0,0.8
