,Formula_Index,P_Value
0,525.0,5.4
1,505.0,5.4
2,542.0,4.8
3,528.0,4.8
4,579.0,4.3
5,547.0,4.3
6,544.0,5.2
7,496.0,5.2
8,567.0,5.4
9,533.0,5.4
10,464.0,4.4
11,525.0,4.4
12,532.0,4.9
13,512.0,4.9
14,534.0,4.5
15,534.0,4.5
16,480.0,4.5
17,514.0,4.5
18,485.0,4.2
19,445.0,4.2
20,502.0,4.0
21,486.0,4.0
22,521.0,6.0
23,531.0,6.0
24,554.0,4.5
25,530.0,4.5
26,518.0,3.7
27,584.0,3.7
28,536.0,4.3
29,557.0,4.3
30,541.0,4.0
31,543.0,4.0
32,570.0,3.9
33,543.0,3.9
34,515.0,4.0
35,533.0,4.0
36,505.0,5.2
37,531.0,5.2
38,508.0,4.2
39,481.0,4.2
40,488.0,4.1
41,469.0,4.1
42,541.0,4.9
43,523.0,4.9
44,539.0,3.0
45,524.0,3.0
46,533.0,4.4
47,563.0,4.4
48,545.0,3.0
49,549.0,3.0
50,565.0,4.6
51,552.0,4.6
52,536.0,4.6
53,384.0,4.6
54,527.0,4.3
55,439.0,4.3
56,385.0,4.8
57,384.0,4.8
58,379.0,4.2
59,458.0,4.2
60,360.0,4.2
61,400.0,4.2
62,418.0,4.6
63,435.0,4.6
64,402.0,3.8
65,455.0,3.8
66,496.0,3.1
67,568.0,3.1
68,512.0,5.2
69,568.0,5.2
70,554.0,4.5
71,429.0,4.5
72,535.0,4.2
73,517.0,4.2
74,562.0,6.0
75,571.0,6.0
76,540.0,4.6
77,553.0,4.6
78,500.0,5.1
79,562.0,5.1
80,445.0,6.5
81,474.0,6.5
82,518.0,4.5
83,561.0,4.5
84,519.0,4.7
85,516.0,4.7
86,496.0,4.3
87,569.0,4.3
88,464.0,4.2
89,573.0,4.2
90,528.0,4.2
91,535.0,4.2
92,560.0,5.2
93,548.0,5.2
94,539.0,4.0
95,503.0,4.0
96,523.0,3.6
97,535.0,3.6
98,528.0,3.2
99,520.0,3.2
100,502.0,5.0
101,390.0,5.0
102,458.0,5.5
103,437.0,5.5
104,482.0,3.9
105,408.0,3.9
106,401.0,5.3
107,398.0,5.3
108,540.0,5.2
109,388.0,5.2
110,360.0,4.2
111,358.0,4.2
112,405.0,4.8
113,274.0,4.8
114,517.0,4.2
115,394.0,4.2
116,453.0,4.0
117,366.0,4.0
118,351.0,4.5
119,496.0,4.5
120,281.0,5.2
121,487.0,5.2
122,400.0,5.8
123,478.0,5.8
124,443.0,4.4
125,510.0,4.4
126,405.0,4.2
