,Formula_Index,pH_Value
0,525.0,7.9
1,505.0,7.9
2,542.0,7.9
3,528.0,7.9
4,579.0,7.7
5,547.0,7.7
6,544.0,8.0
7,496.0,8.0
8,567.0,7.7
9,533.0,7.7
10,464.0,8.2
11,525.0,8.2
12,532.0,7.7
13,512.0,7.7
14,534.0,7.7
15,534.0,7.7
16,480.0,7.8
17,514.0,7.8
18,485.0,7.8
19,445.0,7.8
20,502.0,7.9
21,486.0,7.9
22,521.0,7.9
23,531.0,7.9
24,554.0,7.9
25,530.0,7.9
26,518.0,7.9
27,584.0,7.9
28,536.0,7.9
29,557.0,7.9
30,541.0,7.7
31,543.0,7.7
32,570.0,8.0
33,543.0,8.0
34,515.0,7.9
35,533.0,7.9
36,505.0,7.6
37,531.0,7.6
38,508.0,7.8
39,481.0,7.8
40,488.0,8.0
41,469.0,8.0
42,541.0,7.7
43,523.0,7.7
44,539.0,8.1
45,524.0,8.1
46,533.0,7.9
47,563.0,7.9
48,545.0,8.2
49,549.0,8.2
50,565.0,7.8
51,552.0,7.8
52,536.0,7.7
53,384.0,7.7
54,527.0,7.8
55,439.0,7.8
56,385.0,7.9
57,384.0,7.9
58,379.0,8.2
59,458.0,8.2
60,360.0,7.9
61,400.0,7.9
62,418.0,7.9
63,435.0,7.9
64,402.0,7.7
65,455.0,7.7
66,496.0,8.0
67,568.0,8.0
68,512.0,7.9
69,568.0,7.9
70,554.0,7.9
71,429.0,7.9
72,535.0,7.6
73,517.0,7.6
74,562.0,7.9
75,571.0,7.9
76,540.0,7.6
77,553.0,7.6
78,500.0,7.8
79,562.0,7.8
80,445.0,7.9
81,474.0,7.9
82,518.0,8.1
83,561.0,8.1
84,519.0,7.9
85,516.0,7.9
86,496.0,7.6
87,569.0,7.6
88,464.0,8.0
89,573.0,8.0
90,528.0,7.9
91,535.0,7.9
92,560.0,7.7
93,548.0,7.7
94,539.0,8.0
95,503.0,8.0
96,523.0,8.1
97,535.0,8.1
98,528.0,8.0
99,520.0,8.0
100,502.0,7.9
101,390.0,7.9
102,458.0,7.9
103,437.0,7.9
104,482.0,8.0
105,408.0,8.0
106,401.0,7.9
107,398.0,7.9
108,540.0,7.9
109,388.0,7.9
110,360.0,8.0
111,358.0,8.0
112,405.0,7.8
113,274.0,7.8
114,517.0,7.7
115,394.0,7.7
116,453.0,7.7
117,366.0,7.7
118,351.0,7.6
119,496.0,7.6
120,281.0,7.7
121,487.0,7.7
122,400.0,7.8
123,478.0,7.8
124,443.0,7.7
125,510.0,7.7
126,405.0,7.7
127,275.0,7.7
128,445.0,7.8
129,429.0,7.8
130,441.0,7.7
131,387.0,7.7
132,429.0,7.7
133,376.0,7.7
134,438.0,7.6
135,484.0,7.6
136,539.0,7.9
137,536.0,7.9
138,415.0,8.01
139,329.0,8.01
140,391.0,7.7
141,382.0,7.7
142,540.0,7.7
143,529.0,7.7
144,536.0,7.9
145,566.0,7.9
