,Sample ID,Depth (Cm),PH (1:1),ECe (1:2),OM,P,Unnamed: 6,Unnamed: 7
0,124083.0,1-15 cm,7.9,1.1,0.53,4.0,,
1,124083.0,15-30,7.9,1.01,0.52,3.9,,
2,124142.0,1-15 cm,8.2,0.9,0.49,3.5,,
3,124142.0,15-30,8.1,0.9,0.5,3.2,,
4,123903.0,1-15 cm,8.0,0.79,0.61,4.1,,
5,123903.0,15-30,7.9,0.77,0.5,4.5,,
6,124078.0,1-15 cm,7.9,0.9,0.47,4.0,,
7,124078.0,15-30,7.8,0.91,0.45,3.2,,
8,124042.0,1-15 cm,7.9,1.0,0.4,6.0,,
9,124042.0,15-30,8.0,0.9,0.39,4.0,,
10,124081.0,1-15 cm,8.0,1.03,0.5,3.7,,
11,124081.0,15-30,8.1,1.0,0.48,3.8,,
12,124142.0,1-15 cm,7.8,1.1,0.6,6.0,,
13,124142.0,15-30,7.9,1.02,0.4,5.0,,
14,124084.0,1-15 cm,7.9,0.73,0.4,3.3,,
15,124084.0,15-30,7.9,0.6,0.5,6.0,,
16,124083.0,1-15 cm,7.8,0.7,0.49,5.3,,
17,124083.0,15-30,7.8,0.68,0.5,5.0,,
18,124143.0,1-15 cm,7.9,0.92,0.55,6.0,,
19,124143.0,15-30,8.0,0.7,0.49,5.0,,
20,124079.0,1-15 cm,8.0,1.1,0.4,4.0,,
21,124079.0,15-30,8.0,1.0,0.3,5.0,,
22,124043.0,1-15 cm,7.0,0.91,0.49,3.1,,
23,124043.0,15-30,8.0,0.8,0.5,4.5,,
24,124084.0,1-15 cm,7.9,0.79,0.42,3.3,,
25,124084.0,15-30,8.0,0.6,0.37,4.0,,
26,124154.0,1-15 cm,7.9,0.56,0.5,6.0,,
27,124154.0,15-30,8.0,0.5,0.4,5.0,,
28,124173.0,1-15 cm,8.3,0.7,0.5,3.5,,
29,124173.0,15-30,8.3,0.5,0.35,3.0,,
30,124079.0,1-15 cm,8.1,0.4,0.4,5.0,,
31,124079.0,15-30,8.0,0.5,0.5,6.0,,
32,123900.0,1-15 cm,7.7,0.7,0.3,6.0,,
33,123900.0,15-30,7.8,0.74,0.3,4.0,,
34,124155.0,1-15 cm,8.1,0.3,0.4,5.0,,
35,124155.0,15-30,7.9,0.3,0.5,6.0,,
36,124172.0,1-15 cm,8.1,0.5,0.4,6.0,,
37,124172.0,15-30,8.0,0.5,0.3,4.0,,
38,124170.0,1-15 cm,8.3,0.4,0.5,6.0,,
39,124170.0,15-30,8.2,0.3,0.3,4.0,,
40,124154.0,1-15 cm,8.0,0.5,0.4,6.0,,
41,124154.0,15-30,7.9,0.5,0.4,5.0,,
42,123894.0,1-15 cm,8.0,0.9,0.6,6.5,,
43,123894.0,15-30,8.0,0.9,0.5,6.2,,
44,123895.0,1-15 cm,8.2,1.1,0.5,6.0,,
45,123895.0,15-30,8.2,1.2,0.4,6.2,,
46,123898.0,1-15 cm,8.22,0.9,0.7,4.7,,
47,123898.0,15-30,8.21,0.8,0.5,5.0,,
48,124171.0,1-15 cm,8.1,0.71,0.65,5.3,,
49,124171.0,15-30,8.0,0.67,0.6,5.2,,
50,124043.0,1-15 cm,8.26,0.68,0.3,6.0,,
51,124043.0,15-30,8.26,0.67,0.3,5.95,,
52,123900.0,1-15 cm,7.9,3.28,0.32,4.3,,
53,123900.0,15-30,7.9,3.25,0.31,4.0,,
54,123901.0,1-15 cm,7.9,0.91,0.2,6.08,,
55,123901.0,15-30,7.8,0.9,0.2,6.0,,
56,123902.0,1-15 cm,7.9,1.39,0.59,5.4,,
57,123902.0,15-30,7.9,1.39,0.56,5.37,,
58,123899.0,1-15 cm,8.13,0.9,0.38,5.2,,
59,123899.0,15-30,8.14,0.91,0.37,5.0,,
60,124144.0,1-15 cm,8.23,0.66,0.33,7.0,,
61,124144.0,15-30,8.23,0.66,0.33,6.6,,
62,124145.0,1-15 cm,7.7,0.5,0.35,5.0,,
63,124145.0,15-30,7.7,0.49,0.34,4.5,,
64,123903.0,1-15 cm,7.9,0.82,0.31,5.1,,
65,123903.0,15-30,8.0,0.8,0.3,4.8,,
66,124078.0,1-15 cm,8.1,0.58,0.2,5.3,,
67,124078.0,15-30,8.2,0.58,0.2,5.0,,
68,124082.0,1-15 cm,8.0,1.3,0.38,6.0,,
69,124082.0,15-30,8.0,0.53,0.37,5.8,,
70,124143.0,1-15 cm,7.9,0.65,0.59,5.1,,
71,124143.0,15-30,7.9,0.61,0.57,4.8,,
72,124117.0,1-15 cm,8.24,0.76,0.42,5.2,,
73,124117.0,15-30,8.24,0.7,0.4,5.0,,
74,124164.0,1-15 cm,8.0,1.68,0.4,4.5,,
75,124164.0,15-30,8.0,1.67,0.39,4.0,,
76,124116.0,1-15 cm,7.9,0.72,0.35,5.0,,
77,124116.0,15-30,8.0,0.7,0.3,3.0,,
78,124115.0,1-15 cm,8.0,0.68,0.4,3.0,,
79,124115.0,15-30,7.9,0.6,0.4,5.0,,
80,124114.0,1-15 cm,8.1,0.81,0.3,4.8,,
81,124114.0,15-30,8.1,0.8,0.3,4.0,,
82,124254.0,1-15 cm,8.0,0.78,0.6,5.0,,
83,124254.0,15-30,7.9,0.77,0.58,5.0,,
84,124256.0,1-15 cm,8.0,0.75,0.6,3.8,,
85,124256.0,15-30,7.0,0.77,0.6,3.5,,
86,124038.0,1-15 cm,8.25,0.76,0.53,3.4,,
87,124038.0,15-30,8.21,0.75,0.5,3.0,,
88,124091.0,1-15 cm,7.8,1.07,0.4,4.3,,
89,124091.0,15-30,7.9,1.0,0.4,4.0,,
90,124010.0,1-15 cm,7.7,2.17,0.4,4.0,,
91,124010.0,15-30,7.8,2.1,0.3,3.5,,
92,124254.0,1-15 cm,8.01,2.1,0.5,5.0,,
93,124254.0,15-30,8.0,2.03,0.4,5.0,,
94,124040.0,1-15 cm,7.9,1.6,0.4,4.0,,
95,124040.0,15-30,7.9,1.54,0.3,3.8,,
96,124013.0,1-15 cm,8.2,1.69,0.5,6.0,,
97,124013.0,15-30,8.19,1.6,0.5,5.5,,
98,124149.0,1-15 cm,7.9,2.02,0.3,4.0,,
99,124149.0,15-30,7.9,2.0,0.3,3.6,,
100,124012.0,1-15 cm,8.09,1.62,0.5,5.2,,
101,124012.0,15-30,8.1,1.6,0.4,5.0,,
102,124255.0,1-15 cm,8.0,1.7,0.6,6.0,,
103,124255.0,15-30,7.9,1.67,0.5,5.0,,
104,124092.0,1-15 cm,7.7,2.02,0.5,5.0,,
105,124092.0,15-30,7.8,2.01,0.4,4.8,,
106,124148.0,1-15cm,7.6,1.63,0.3,3.5,,
107,124148.0,15-30,7.6,1.61,0.28,3.0,,
108,124038.0,1-15cm,7.7,1.61,0.4,4.0,,
109,124038.0,15-30,7.8,1.6,0.32,3.7,,
110,124093.0,1-15 cm,7.9,1.28,0.4,4.2,,
111,124093.0,15-30,8.0,1.25,0.34,3.8,,
112,124011.0,1-15 cm,8.01,1.36,0.3,4.4,,
113,124011.0,15-30,7.9,1.34,0.3,4.2,,
114,124057.0,1-15 cm,8.0,1.3,0.38,4.1,,
115,124057.0,15-30,7.9,1.32,0.3,4.0,,
116,124039.0,1-15cm,7.8,1.09,0.4,5.0,,
117,124039.0,15-30,7.9,1.11,0.36,4.3,,
118,124091.0,1-15cm,8.3,1.13,0.3,3.5,,
119,124091.0,15-30,8.2,1.11,0.3,3.1,,
120,124149.0,1-15cm,8.0,1.97,0.4,4.2,,
121,124149.0,15-30,8.02,1.95,0.3,3.2,,
122,124010.0,1-15cm,8.18,1.91,0.4,5.0,,
123,124010.0,15-30,8.15,1.87,0.34,4.7,,
124,110768.0,1-15cm,7.9,4.05,0.5,5.5,,
125,110768.0,15-30,7.86,4.01,0.45,5.1,,
126,110765.0,1-15cm,8.1,1.69,0.4,4.3,,
127,110765.0,15-30,8.01,1.6,0.34,4.2,,
128,124090.0,1-15cm,8.0,1.33,0.3,3.4,,
129,124090.0,15-30,8.1,1.29,0.3,3.0,,
130,110861.0,1-15cm,8.3,1.11,0.4,4.2,,
131,110861.0,15-30,8.2,1.09,0.3,3.8,,
132,124148.0,1-15cm,7.9,1.94,0.4,4.1,,
133,124148.0,15-30,8.03,1.88,0.34,3.8,,
134,110862.0,1-15cm,8.01,1.7,0.4,4.2,,
135,110862.0,15-30,8.1,1.65,0.36,3.9,,
136,110767.0,1-15cm,7.9,1.19,0.5,5.0,,
137,110767.0,15-30,7.9,1.15,0.43,4.3,,
138,110741.0,1-15cm,7.9,1.73,0.5,5.0,,
139,110741.0,15-30,8.02,1.71,0.43,4.7,,
140,110860.0,1cm-15cm,7.9,1.02,0.47,4.3,,
141,110860.0,15cm-30cm,7.9,0.9,0.43,4.0,,
142,110638.0,1cm-15cm,8.0,0.59,0.5,5.4,,
143,110638.0,15cm-30cm,7.9,0.54,0.52,5.4,,
144,110639.0,1cm-15cm,7.9,0.62,0.6,5.0,,
145,110639.0,15cm-30cm,7.9,0.55,0.59,4.8,,
146,110640.0,1cm-15cm,7.7,1.2,0.4,4.3,,
147,110640.0,15cm-30cm,7.8,0.99,0.43,4.1,,
148,110641.0,1cm-15cm,8.0,1.1,0.6,5.2,,
149,110641.0,15cm-30cm,7.8,1.2,0.52,5.1,,
150,110642.0,1cm-15cm,7.7,1.5,0.4,5.4,,
151,110642.0,15cm-30cm,7.8,1.44,0.42,5.2,,
152,110643.0,1cm-15cm,8.2,0.92,0.57,4.2,,
153,110643.0,15cm-30cm,8.2,0.88,0.5,4.4,,
154,110650.0,1cm-15cm,7.9,5.0,0.72,4.1,,
155,110650.0,15cm-30cm,7.9,1.1,0.67,6.0,,
