Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
124083,O,7.9,1.1,0.53,4,,
124083,I,7.9,1.01,0.52,3.9,,
124142,O,8.2,0.9,0.49,3.5,,
124142,I,8.1,0.9,0.5,3.2,,
123903,O,8,0.79,0.61,4.1,,
123903,I,7.9,0.77,0.5,4.5,,
124078,O,7.9,0.9,0.47,4,,
124078,I,7.8,0.91,0.45,3.2,,
124042,O,7.9,1,0.4,6,,
124042,I,8,0.9,0.39,4,,
124081,O,8,1.03,0.5,3.7,,
124081,I,8.1,1,0.48,3.8,,
124142,O,7.8,1.1,0.6,6,,
124142,I,7.9,1.02,0.4,5,,
124084,O,7.9,0.73,0.4,3.3,,
124084,I,7.9,0.6,0.5,6,,
124083,O,7.8,0.7,0.49,5.3,,
124083,I,7.8,0.68,0.5,5,,
124143,O,7.9,0.92,0.55,6,,
124143,I,8,0.7,0.49,5,,
124079,O,8,1.1,0.4,4,,
124079,I,8,1,0.3,5,,
124043,O,7,0.91,0.49,3.1,,
124043,I,8,0.8,0.5,4.5,,
124084,O,7.9,0.79,0.42,3.3,,
124084,I,8,0.6,0.37,4,,
124154,O,7.9,0.56,0.5,6,,
124154,I,8,0.5,0.4,5,,
124173,O,8.3,0.7,0.5,3.5,,
124173,I,8.3,0.5,0.35,3,,
124079,O,8.1,0.4,0.4,5,,
124079,I,8,0.5,0.5,6,,
123900,O,7.7,0.7,0.3,6,,
123900,I,7.8,0.74,0.3,4,,
124155,O,8.1,0.3,0.4,5,,
124155,I,7.9,0.3,0.5,6,,
124172,O,8.1,0.5,0.4,6,,
124172,I,8,0.5,0.3,4,,
124170,O,8.3,0.4,0.5,6,,
124170,I,8.2,0.3,0.3,4,,
124154,O,8,0.5,0.4,6,,
124154,I,7.9,0.5,0.4,5,,
123894,O,8,0.9,0.6,6.5,,
123894,I,8,0.9,0.5,6.2,,
123895,O,8.2,1.1,0.5,6,,
123895,I,8.2,1.2,0.4,6.2,,
123898,O,8.22,0.9,0.7,4.7,,
123898,I,8.21,0.8,0.5,5,,
124171,O,8.1,0.71,0.65,5.3,,
124171,I,8,0.67,0.6,5.2,,
124043,O,8.26,0.68,0.3,6,,
124043,I,8.26,0.67,0.3,5.95,,
123900,O,7.9,3.28,0.32,4.3,,
123900,I,7.9,3.25,0.31,4,,
123901,O,7.9,0.91,0.2,6.08,,
123901,I,7.8,0.9,0.2,6,,
123902,O,7.9,1.39,0.59,5.4,,
123902,I,7.9,1.39,0.56,5.37,,
123899,O,8.13,0.9,0.38,5.2,,
123899,I,8.14,0.91,0.37,5,,
124144,O,8.23,0.66,0.33,7,,
124144,I,8.23,0.66,0.33,6.6,,
124145,O,7.7,0.5,0.35,5,,
124145,I,7.7,0.49,0.34,4.5,,
123903,O,7.9,0.82,0.31,5.1,,
123903,I,8,0.8,0.3,4.8,,
124078,O,8.1,0.58,0.2,5.3,,
124078,I,8.2,0.58,0.2,5,,
124082,O,8,1.3,0.38,6,,
124082,I,8,0.53,0.37,5.8,,
124143,O,7.9,0.65,0.59,5.1,,
124143,I,7.9,0.61,0.57,4.8,,
124117,O,8.24,0.76,0.42,5.2,,
124117,I,8.24,0.7,0.4,5,,
124164,O,8,1.68,0.4,4.5,,
124164,I,8,1.67,0.39,4,,
124116,O,7.9,0.72,0.35,5,,
124116,I,8,0.7,0.3,3,,
124115,O,8,0.68,0.4,3,,
124115,I,7.9,0.6,0.4,5,,
124114,O,8.1,0.81,0.3,4.8,,
124114,I,8.1,0.8,0.3,4,,
124254,O,8,0.78,0.6,5,,
124254,I,7.9,0.77,0.58,5,,
124256,O,8,0.75,0.6,3.8,,
124256,I,7,0.77,0.6,3.5,,
124038,O,8.25,0.76,0.53,3.4,,
