,P_Index,P_Value
0,499.0,5.4
1,550.0,5.4
2,531.0,4.9
3,505.0,4.9
4,499.0,4.199999999999999
5,549.0,4.199999999999999
6,104.0,5.15
7,585.0,5.15
8,453.0,5.300000000000001
9,537.0,5.300000000000001
10,508.0,4.300000000000001
11,489.0,4.300000000000001
12,541.0,4.95
13,572.0,4.95
14,528.0,4.55
15,499.0,4.55
16,548.0,4.35
17,534.0,4.35
18,437.0,4.15
19,423.0,4.15
20,515.0,4.1
21,560.0,4.1
22,437.0,5.05
23,553.0,5.05
24,554.0,5.15
25,517.0,5.15
26,545.0,3.75
27,537.0,3.75
28,499.0,4.35
29,499.0,4.35
30,476.0,4.05
31,525.0,4.05
32,411.0,4.15
33,539.0,4.15
34,499.0,4.1
35,495.0,4.1
36,493.0,5.1
37,513.0,5.1
38,487.0,4.1
39,510.0,4.1
40,590.0,3.8499999999999996
41,593.0,3.8499999999999996
42,579.0,5.15
43,483.0,5.15
44,542.0,3.45
45,549.0,3.45
46,537.0,4.45
47,584.0,4.45
48,503.0,3.15
49,553.0,3.15
50,449.0,4.449999999999999
51,527.0,4.449999999999999
52,522.0,4.55
53,540.0,4.55
54,478.0,4.25
55,465.0,4.25
56,357.0,4.699999999999999
57,385.0,4.699999999999999
58,389.0,4.1
59,440.0,4.1
60,440.0,4.35
61,523.0,4.35
62,414.0,4.449999999999999
63,543.0,4.449999999999999
64,414.0,4.0
65,460.0,4.0
66,540.0,3.35
67,492.0,3.35
68,401.0,5.1
69,436.0,5.1
70,544.0,4.6
71,279.0,4.6
72,524.0,4.300000000000001
73,536.0,4.300000000000001
74,511.0,5.75
75,472.0,5.75
76,556.0,4.55
77,543.0,4.55
78,433.0,5.05
79,489.0,5.05
80,461.0,6.6
81,550.0,6.6
82,593.0,4.55
83,560.0,4.55
84,542.0,4.6
85,584.0,4.6
86,537.0,4.4
87,527.0,4.4
88,235.0,4.35
89,477.0,4.35
90,517.0,4.35
91,561.0,4.35
92,498.0,5.2
93,486.0,5.2
94,443.0,4.05
95,501.0,4.05
96,470.0,3.8
97,489.0,3.8
98,524.0,3.35
99,537.0,3.35
100,415.0,4.65
101,242.0,4.65
102,478.0,5.3
103,412.0,5.3
104,405.0,3.95
105,411.0,3.95
106,389.0,5.15
107,278.0,5.15
108,281.0,4.35
109,326.0,4.35
110,313.0,4.949999999999999
111,422.0,4.949999999999999
112,419.0,4.300000000000001
113,432.0,4.300000000000001
114,478.0,4.25
115,451.0,4.25
116,319.0,4.35
117,462.0,4.35
118,450.0,4.6
119,445.0,4.6
120,401.0,5.65
121,388.0,5.65
122,360.0,4.65
123,451.0,4.65
124,408.0,4.1
125,347.0,4.1
126,442.0,4.4
127,390.0,4.4
128,529.0,5.35
129,329.0,5.35
130,550.0,4.5
131,495.0,4.5
132,470.0,3.25
133,508.0,3.25
134,527.0,4.15
135,507.0,4.15
136,447.0,4.05
137,429.0,4.05
138,446.0,4.0
139,349.0,4.0
140,462.0,5.949999999999999
141,463.0,5.949999999999999
142,571.0,4.9
143,549.0,4.9
144,555.0,8.65
145,491.0,8.65
146,541.0,7.45
147,502.0,7.45
148,502.0,5.15
149,502.0,5.15
150,506.0,5.15
151,472.0,5.15
152,534.0,6.5
153,583.0,6.5
154,515.0,4.3
155,518.0,4.3
156,569.0,6.3999999999999995
