,Formula_Index,OM_Value
0,525.0,0.52
1,505.0,0.52
2,542.0,0.59
3,528.0,0.59
4,579.0,0.4
5,547.0,0.4
6,544.0,0.6
7,496.0,0.6
8,567.0,0.4
9,533.0,0.4
10,464.0,0.5
11,525.0,0.5
12,532.0,0.57
13,512.0,0.57
14,534.0,0.5
15,534.0,0.5
16,480.0,0.64
17,514.0,0.64
18,485.0,0.41
19,445.0,0.41
20,502.0,0.58
21,486.0,0.58
22,521.0,0.67
23,531.0,0.67
24,554.0,0.52
25,530.0,0.52
26,518.0,0.47
27,584.0,0.47
28,536.0,0.52
29,557.0,0.52
30,541.0,0.65
31,543.0,0.65
32,570.0,0.55
33,543.0,0.55
34,515.0,0.57
35,533.0,0.57
36,505.0,0.44
37,531.0,0.44
38,508.0,0.52
39,481.0,0.52
40,488.0,0.41
41,469.0,0.41
42,541.0,0.52
43,523.0,0.52
44,539.0,0.39
45,524.0,0.39
46,533.0,0.53
47,563.0,0.53
48,545.0,0.45
49,549.0,0.45
50,565.0,0.6
51,552.0,0.6
52,536.0,0.61
53,384.0,0.61
54,527.0,0.52
55,439.0,0.52
56,385.0,0.5
57,384.0,0.5
58,379.0,0.43
59,458.0,0.43
60,360.0,0.36
61,400.0,0.36
62,418.0,0.55
63,435.0,0.55
64,402.0,0.45
65,455.0,0.45
66,496.0,0.52
67,568.0,0.52
68,512.0,0.65
69,568.0,0.65
70,554.0,0.57
71,429.0,0.57
72,535.0,0.6
73,517.0,0.6
74,562.0,0.5
75,571.0,0.5
76,540.0,0.85
77,553.0,0.85
78,500.0,0.48
79,562.0,0.48
80,445.0,0.6
81,474.0,0.6
82,518.0,0.51
83,561.0,0.51
84,519.0,0.52
85,516.0,0.52
86,496.0,0.47
87,569.0,0.47
88,464.0,0.35
89,573.0,0.35
90,528.0,0.41
91,535.0,0.41
92,560.0,0.64
93,548.0,0.64
94,539.0,0.36
95,503.0,0.36
96,523.0,0.43
97,535.0,0.43
98,528.0,0.53
99,520.0,0.53
100,502.0,0.5
101,390.0,0.5
102,458.0,0.5
103,437.0,0.5
104,482.0,0.48
105,408.0,0.48
106,401.0,0.5
107,398.0,0.5
108,540.0,0.45
109,388.0,0.45
110,360.0,0.48
111,358.0,0.48
112,405.0,0.54
113,274.0,0.54
114,517.0,0.47
115,394.0,0.47
116,453.0,0.41
117,366.0,0.41
118,351.0,0.67
119,496.0,0.67
120,281.0,0.55
